#"","INTLDES","NORAD_CAT_ID","OBJECT_TYPE","SATNAME","COUNTRY","LAUNCH","SITE","DECAY","PERIOD","INCLINATION","APOGEE","PERIGEE","COMMENT","COMMENTCODE","RCSVALUE","RCS_SIZE","FILE","LAUNCH_YEAR","LAUNCH_NUM","LAUNCH_PIECE","CURRENT","OBJECT_NAME","OBJECT_ID","OBJECT_NUMBER"
"30564","2018-111AG",43906,"PAYLOAD","FLOCK 3K 9","US","2018-12-27","VOSTO","",94.46,97.29,508,477,"",NA,0,"SMALL",7014,2018,111,"AG","Y","FLOCK 3K 9","2018-111AG",43906
"30565","1975-116A",8473,"PAYLOAD","COSMOS 785","CIS","1975-12-12","TTMTR","",104.18,65.08,1003,909,"",NA,0,"LARGE",7012,1975,116,"A","Y","COSMOS 785","1975-116A",8473
"30566","1997-048A",24925,"PAYLOAD","DUMMY MASS 1","PRC","1997-09-01","TSC","",96.96,86.33,619,607,"",NA,0,"LARGE",7015,1997,48,"A","Y","DUMMY MASS 1","1997-048A",24925
"30567","1985-070A",15946,"PAYLOAD","RADUGA 16","CIS","1985-08-08","TTMTR","",1434.55,13.52,35764,35749,"",NA,0,"LARGE",7014,1985,70,"A","Y","RADUGA 16","1985-070A",15946
"30568","1997-053A",24957,"PAYLOAD","NSS 5 (INTELSAT 803)","NETH","1997-09-23","FRGUI","",1436.1,5.34,35802,35772,"",NA,0,"LARGE",7015,1997,53,"A","Y","NSS 5 (INTELSAT 803)","1997-053A",24957
"30569","2017-036V",42784,"PAYLOAD","PEGASUS","ASRA","2017-06-23","SRI","",94.58,97.35,507,489,"",NA,0,"SMALL",7015,2017,36,"V","Y","PEGASUS","2017-036V",42784
"30570","1992-058A",22108,"PAYLOAD","NAVSTAR 27 (USA 84)","US","1992-09-09","AFETR","",767.74,55.04,21429,21362,"",NA,0,"LARGE",7012,1992,58,"A","Y","NAVSTAR 27 (USA 84)","1992-058A",22108
"30571","2017-035A",42763,"PAYLOAD","CHINASAT 9A","PRC","2017-06-18","XSC","",1436.09,0.05,35799,35774,"",NA,0,"LARGE",7015,2017,35,"A","Y","CHINASAT 9A","2017-035A",42763
"30572","1997-054A",24960,"PAYLOAD","MOLNIYA 1-90","CIS","1997-09-24","PKMTR","",451.86,63.08,25639,616,"",NA,0,"LARGE",7015,1997,54,"A","Y","MOLNIYA 1-90","1997-054A",24960
"30573","1985-076C",15994,"PAYLOAD","ASC 1","US","1985-08-27","AFETR","",1436.54,15.13,35828,35763,"",NA,0,"LARGE",7014,1985,76,"C","Y","ASC 1","1985-076C",15994
"30574","2017-032A",42749,"PAYLOAD","ECHOSTAR 21","US","2017-06-08","TTMTR","",1436.07,6.12,35795,35777,"",NA,0,"SMALL",7015,2017,32,"A","Y","ECHOSTAR 21","2017-032A",42749
"30575","2017-056A",42941,"PAYLOAD","USA 278","US","2017-09-24","AFWTR","",717.78,63.66,38736,1618,"",NA,0,"",6977,2017,56,"A","Y","USA 278","2017-056A",42941
"30576","2017-031A",42747,"PAYLOAD","GSAT 19","IND","2017-06-05","SRI","",1436.07,0.11,35809,35763,"",NA,0,"LARGE",7015,2017,31,"A","Y","GSAT 19","2017-031A",42747
"30577","1975-112A",8458,"PAYLOAD","COSMOS 783","CIS","1975-11-28","PKMTR","",100.5,74.06,792,773,"",NA,0,"LARGE",7012,1975,112,"A","Y","COSMOS 783","1975-112A",8458
"30578","2016-040S",41615,"PAYLOAD","FLOCK 2P 7","US","2016-06-22","SRI","",94.33,97.37,492,480,"",NA,0,"SMALL",7012,2016,40,"S","Y","FLOCK 2P 7","2016-040S",41615
"30579","1976-054A",8889,"PAYLOAD","COSMOS 825","CIS","1976-06-15","PKMTR","",114.68,74,1487,1395,"",NA,0,"MEDIUM",7005,1976,54,"A","Y","COSMOS 825","1976-054A",8889
"30580","2018-112C",43911,"PAYLOAD","YUNHAI 2 3","PRC","2018-12-29","JSC","",94.99,50.01,523,512,"",NA,0,"LARGE",7014,2018,112,"C","Y","YUNHAI 2 3","2018-112C",43911
"30581","1976-005A",8591,"PAYLOAD","COSMOS 789","CIS","1976-01-20","PKMTR","",104.88,82.97,1011,967,"",NA,0,"LARGE",7012,1976,5,"A","Y","COSMOS 789","1976-005A",8591
"30582","2019-005A",43942,"PAYLOAD","LINGQUE 1A","PRC","2019-01-21","JSC","",95.13,97.51,537,513,"",NA,0,"MEDIUM",7012,2019,5,"A","Y","LINGQUE 1A","2019-005A",43942
"30583","1997-071A",25049,"PAYLOAD","SIRIUS 2 (GE-1E)","SWED","1997-11-11","FRGUI","",1448.61,7.87,36041,36021,"",NA,0,"LARGE",7015,1997,71,"A","Y","SIRIUS 2 (GE-1E)","1997-071A",25049
"30584","2017-027A",42719,"PAYLOAD","COSMOS 2518","CIS","2017-05-25","PKMTR","",718.14,63.31,38032,2341,"",NA,0,"LARGE",7015,2017,27,"A","Y","COSMOS 2518","2017-027A",42719
