,OBJECT_TYPE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,SMA,e,n
46536,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46537,"""PAYLOAD""","""""",95.6,53.05,549.0,547.0,"""LARGE""","""2020""",6926000.0,0.00014438348252959862,0.001095394928029914
46538,"""PAYLOAD""","""""",95.59,53.05,549.0,546.0,"""LARGE""","""2020""",6925500.0,0.00021659085986571366,0.0010955095210760514
46540,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46545,"""PAYLOAD""","""""",94.04,35.02,478.0,467.0,"""LARGE""","""2020""",6850500.0,0.00080286110502883,0.0011135660901707759
46546,"""PAYLOAD""","""""",94.04,35.02,478.0,467.0,"""LARGE""","""2020""",6850500.0,0.00080286110502883,0.0011135660901707759
46547,"""PAYLOAD""","""""",94.04,35.01,478.0,466.0,"""LARGE""","""2020""",6850000.0,0.0008759124087591241,0.0011135660901707759
46549,"""PAYLOAD""","""""",94.04,35.02,478.0,467.0,"""LARGE""","""2020""",6850500.0,0.00080286110502883,0.0011135660901707759
46550,"""PAYLOAD""","""""",717.86,63.03,38527.0,1832.0,"""LARGE""","""2020""",26557500.0,0.6908594558975807,0.0001458776852306296
46559,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46560,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46562,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46563,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46564,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46565,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
