INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092AV","49556","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.70","82.78","578","430","","","0","SMALL","7963","1982","92","AV","Y","COSMOS 1408 DEB","1982-092AV","49556"
"1982-092AVA","50907","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.90","82.61","484","446","","","0","SMALL","7965","1982","92","AVA","Y","COSMOS 1408 DEB","1982-092AVA","50907"
"1982-092AVB","50908","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.62","82.52","538","462","","","0","SMALL","7965","1982","92","AVB","Y","COSMOS 1408 DEB","1982-092AVB","50908"
"1982-092AVC","50909","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.18","82.49","480","381","","","0","SMALL","7965","1982","92","AVC","Y","COSMOS 1408 DEB","1982-092AVC","50909"
"1982-092AVD","50910","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.65","82.53","422","386","","","0","SMALL","7965","1982","92","AVD","Y","COSMOS 1408 DEB","1982-092AVD","50910"
"1982-092AVE","50911","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.14","82.52","509","445","","","0","SMALL","7965","1982","92","AVE","Y","COSMOS 1408 DEB","1982-092AVE","50911"
"1982-092AVF","50912","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.71","82.67","464","447","","","0","SMALL","7964","1982","92","AVF","Y","COSMOS 1408 DEB","1982-092AVF","50912"
"1982-092AVG","50913","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.62","82.61","471","433","","","0","SMALL","7965","1982","92","AVG","Y","COSMOS 1408 DEB","1982-092AVG","50913"
"1982-092AVH","50914","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.26","82.52","509","457","","","0","SMALL","7965","1982","92","AVH","Y","COSMOS 1408 DEB","1982-092AVH","50914"
"1982-092AVJ","50915","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.46","82.65","462","425","","","0","SMALL","7965","1982","92","AVJ","Y","COSMOS 1408 DEB","1982-092AVJ","50915"
"1982-092AVK","50916","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.46","82.56","562","423","","","0","SMALL","7965","1982","92","AVK","Y","COSMOS 1408 DEB","1982-092AVK","50916"
"1982-092AVL","50917","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-01-19","90.10","82.72","312","246","","","0","SMALL","7945","1982","92","AVL","Y","COSMOS 1408 DEB","1982-092AVL","50917"
